target_dist_base,env_wind_s,env_precipitation,cam_transparency,uav_cond_cruise_s,target_dist_path,lap_analys_t,camera_delay,MOE_Fuel,MOE_Time,wt_metric,Architecture,uav_t_prepare,onboard_trans_delay,onboard_analy_t,nav_accuracy
high,low,low,high,high,medium,medium,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,high,high,medium,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,high,low,high,medium,high,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,very_low,high,high,medium,low,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,low,high,high,very_low,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,medium,high,low,medium,very_low,very_low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,very_low,high,high,low,low,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,very_low,high,low,high,low,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,low,high,high,high,very_low,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,medium,high,high,medium,very_low,medium,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,low,high,high,medium,low,very_low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,high,low,high,medium,very_low,low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,low,high,high,medium,medium,low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,medium,high,high,low,high,very_low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,medium,low,high,high,very_low,very_low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,high,low,high,medium,very_low,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,medium,high,high,low,low,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,medium,low,high,low,very_low,medium,Slight_Degradation,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,high,very_low,very_low,low,low,low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,very_low,high,low,high,very_low,high,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,low,high,high,very_low,high,low,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,medium,low,high,high,high,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,low,high,high,high,very_low,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,medium,high,high,low,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,very_low,high,high,high,high,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,very_low,high,high,low,medium,very_low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,very_low,high,high,high,low,very_low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,low,high,high,low,high,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,high,medium,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,medium,low,high,medium,low,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,low,high,high,high,medium,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,medium,high,low,high,very_low,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,high,very_low,high,medium,very_low,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,medium,high,high,high,low,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,low,high,high,medium,medium,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,high,very_low,low,high,high,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,very_low,high,high,low,very_low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,medium,high,high,low,medium,very_low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,medium,high,high,low,very_low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,low,high,high,low,medium,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,low,high,high,medium,medium,very_low,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,high,low,high,high,very_low,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,very_low,high,high,medium,medium,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,medium,high,low,very_low,high,very_low,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,low,low,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,very_low,high,high,very_low,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,low,high,low,medium,very_low,low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,low,low,high,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,very_low,high,high,very_low,medium,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,very_low,high,high,low,very_low,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,high,low,high,high,medium,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,very_low,high,high,medium,low,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,medium,high,low,very_low,very_low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,high,low,high,high,high,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,medium,high,high,very_low,high,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,high,low,high,medium,high,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,low,high,high,very_low,high,very_low,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,medium,very_low,high,high,medium,high,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,high,very_low,high,high,low,very_low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,low,medium,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,low,high,high,low,high,very_low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,low,high,high,low,high,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,low,high,high,low,medium,low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,medium,high,high,high,very_low,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,low,high,low,high,high,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,medium,high,high,high,very_low,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,low,medium,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,very_low,high,high,low,very_low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,medium,high,low,low,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,medium,high,high,very_low,low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,low,high,low,low,low,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,low,high,high,low,high,high,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,low,high,high,very_low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,very_low,medium,high,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,high,low,high,medium,low,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,medium,low,high,high,very_low,low,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,very_low,high,high,low,high,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,high,low,high,very_low,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,very_low,high,high,low,low,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,high,very_low,high,very_low,medium,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,very_low,high,high,high,low,high,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,low,high,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,very_low,high,high,very_low,medium,very_low,High_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,very_low,high,low,very_low,low,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,medium,high,high,high,medium,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,medium,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,very_low,high,high,high,medium,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,low,high,high,medium,medium,very_low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,medium,low,high,medium,low,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,low,high,high,low,low,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,high,low,low,medium,very_low,low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,very_low,high,low,medium,medium,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,medium,medium,high,high,very_low,medium,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,very_low,high,high,medium,very_low,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,low,high,low,medium,low,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,low,high,very_low,medium,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,high,very_low,high,medium,medium,very_low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,very_low,high,high,medium,medium,medium,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,very_low,very_low,medium,very_low,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,high,low,high,very_low,very_low,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,very_low,high,high,low,medium,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,medium,high,high,low,very_low,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,medium,high,high,low,very_low,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,low,high,low,medium,very_low,low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,low,high,low,medium,medium,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,medium,high,high,low,very_low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,medium,medium,high,high,medium,very_low,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,high,high,low,low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,low,low,very_low,very_low,low,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,low,high,high,low,medium,high,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,medium,high,high,medium,low,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,very_low,high,high,low,high,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,medium,low,high,medium,medium,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,medium,high,high,very_low,very_low,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,medium,high,high,medium,low,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,medium,high,high,very_low,high,high,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,very_low,high,low,medium,high,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,very_low,high,high,low,high,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,low,high,high,high,medium,very_low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,medium,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,medium,low,high,very_low,very_low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,medium,low,high,high,low,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,medium,low,high,very_low,medium,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,very_low,high,low,very_low,low,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,medium,low,high,high,medium,medium,very_low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,low,very_low,medium,very_low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,high,very_low,medium,low,very_low,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,very_low,high,low,medium,low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,low,high,high,low,high,low,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,very_low,high,low,medium,very_low,low,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,medium,high,high,medium,medium,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,low,high,high,very_low,very_low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,very_low,very_low,high,medium,high,High_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,medium,high,high,medium,low,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,low,high,high,very_low,medium,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,high,low,low,low,very_low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,medium,very_low,medium,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,low,high,low,very_low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,medium,low,high,medium,low,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,high,very_low,medium,medium,low,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,high,low,high,medium,medium,very_low,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,low,high,high,very_low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,medium,high,high,very_low,high,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,medium,high,high,medium,very_low,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,very_low,high,low,low,medium,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,high,very_low,high,very_low,high,high,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,high,low,high,very_low,high,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,low,high,low,medium,high,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,very_low,high,high,high,low,medium,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,very_low,medium,high,high,high,low,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,very_low,high,high,medium,low,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,medium,low,low,low,low,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,low,high,low,high,very_low,high,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,very_low,medium,high,high,very_low,medium,high,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,high,very_low,high,medium,medium,very_low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,high,very_low,high,medium,high,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,very_low,high,low,very_low,low,low,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,high,very_low,medium,low,high,medium,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,high,high,low,low,very_low,very_low,medium,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,low,high,high,low,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,medium,high,high,low,low,very_low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,medium,high,high,high,medium,medium,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,low,high,high,very_low,high,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,high,medium,high,low,high,low,low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,low,high,high,low,low,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,very_low,high,high,low,low,high,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,very_low,high,high,high,high,very_low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,low,high,high,very_low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,very_low,high,high,high,high,medium,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
medium,high,medium,low,low,very_low,low,low,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,very_low,low,high,high,low,low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,low,low,high,high,high,high,high,High_Improvement,High_Improvement,High_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,medium,low,high,high,high,high,Slight_Improvement,Slight_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,high,low,high,medium,high,very_low,High_Improvement,Slight_Degradation,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
very_low,high,medium,high,low,medium,very_low,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,low,high,high,very_low,very_low,low,Slight_Improvement,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,medium,medium,high,high,very_low,low,very_low,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,low,very_low,high,high,very_low,low,medium,High_Improvement,Slight_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,low,medium,low,high,medium,very_low,high,High_Degradation,High_Degradation,High_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
low,very_low,medium,high,high,high,low,low,High_Improvement,High_Improvement,Slight_Improvement,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
high,medium,very_low,high,high,very_low,low,medium,Slight_Degradation,High_Degradation,Slight_Degradation,SoAS1,No_Impact,No_Impact,No_Impact,No_Impact
